"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Spruce_Biomass_kg","Mean_Plot_Spruce_Biomass_kg_m2"
"180","Telemark","nome_cappelen1","1CAUB","UB",3,1.379965,0.109814125521904
"181","Telemark","drangedal1","1DRUB","UB",3,0.618605,0.049227021785681
"182","Telemark","fritsoe1","1FRUB","UB",3,1.7368525,0.138214330398258
"183","Telemark","furesdal","1FYUB","UB",3,3.4023275,0.270748619821245
"184","Trøndelag","namdalseid_1kub","1KUB","UB",3,2.8313075,0.225308292019078
"185","Telemark","kviteseid1","1KVUB","UB",3,1.23721,0.0984540435713619
"186","Telemark","notodden1","1NOUB","UB",3,0.28551,0.0227201639010835
"187","Trøndelag","nsb_verdal","1NSUB","UB",3,0.38068,0.0302935518681114
"188","Trøndelag","sub_namdalseid","1SUB","UB",3,0.333095,0.0265068578845974
"189","Trøndelag","verdal_1vb","1VBUB","UB",3,0.09517,0.00757338796702784
"190","Trøndelag","steinkjer_2bbb","2BBUB","UB",3,1.760645,0.140107677390015
"191","Telemark","nome_cappelen2","2CAUB","UB",3,0.38068,0.0302935518681114
"192","Telemark","fritsoe2","2FRUB","UB",3,1.284795,0.102240737554876
"193","Telemark","kviteseid2","2KVUB","UB",3,0.47585,0.0378669398351392
"194","Trøndelag","verdal_2vb","2VBUB","UB",3,0.904115,0.0719471856867645
"195","Telemark","drangedal3","3DRUB","UB",3,0.28551,0.0227201639010835
"196","Telemark","kviteseid3","3KVUB","UB",3,4.37782,0.348375846483281
"197","Telemark","notodden3","3NOUB","UB",3,0.4044725,0.0321868988598683
"198","Telemark","drangedal4","4DRUB","UB",3,0.6423975,0.0511203687774379
"199","Telemark","notodden4","4NOUB","UB",3,0.7851525,0.0624804507279797
"200","Telemark","notodden5","5NOUB","UB",3,9.61217,0.764912184669812
"201","Telemark","notodden6","6NOUB","UB",3,0.09517,0.00757338796702784
"202","Trøndelag","bratsberg","BRUB","UB",3,0.9279075,0.0738405326785214
"203","Hedmark","nes 1","DDUB","UB",3,12.27693,0.976967047746591
"204","Hedmark","didrik_holmsen","DHUB","UB",3,1.094455,0.0870939616208202
"205","Hedmark","fet_3","FKUB","UB",3,0.713775,0.0568004097527088
"206","Trøndelag","selbu_flub","FLUB","UB",3,1.87167666666667,0.148943296684881
