"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Decid_Biomass_kg","Mean_Plot_Decid_Biomass_kg_m2"
"113","Trøndelag","selbu_sl","SLUB","UB",2,0.582975233333333,0.0463916950425755
"114","Trøndelag","steinkjer_1bbb","1BBB","B",3,1.19247532,0.0948941708465448
"115","Telemark","nome_cappelen1","1CAB","B",3,0.19743797,0.0157116144397647
"116","Telemark","drangedal1","1DRB","B",3,0.48732915,0.0387804215676359
"117","Telemark","fritsoe1","1FRB","B",3,0.03463915,0.00275649597350081
"118","Telemark","furesdal","1FYB","B",3,0.4404,0.0350459184688353
"119","Trøndelag","namdalseid_1kub","1KB","B",3,1.31729551,0.10482704596463
"120","Telemark","kviteseid1","1KVB","B",3,2.06307052,0.164173935602583
"121","Trøndelag","nsb_verdal","1NSB","B",3,0.93659634,0.0745319685963887
"122","Trøndelag","sub_namdalseid","1SB","B",3,0.46838292,0.0372727284889079
"123","Trøndelag","verdal_1vb","1VBB","B",3,0.52602264,0.0418595516671243
"124","Trøndelag","steinkjer_2bbb","2BBB","B",3,1.10396779,0.0878509653963677
"125","Telemark","nome_cappelen2","2CAB","B",3,1.04527333333333,0.0831802089410712
"126","Telemark","fritsoe2","2FRB","B",3,0.52530219,0.041802220077749
"127","Telemark","kviteseid2","2KVB","B",3,1.20259007,0.0956990770768642
"128","Trøndelag","verdal_2vb","2VBB","B",3,5.4384972,0.432781856185716
"129","Telemark","drangedal3","3DRB","B",3,0.07059,0.00561737371642845
"130","Telemark","kviteseid3","3KVB","B",3,1.01346798,0.0806492193411791
"131","Telemark","notodden3","3NOB","B",3,0.16356323,0.0130159482812883
"132","Telemark","drangedal4","4DRB","B",3,3.75304782,0.298658056106631
"133","Telemark","notodden5","5NOB","B",3,0.70653652,0.0562243898164729
"134","Telemark","notodden6","6NOB","B",3,0.26877941,0.0213887858514116
"135","Trøndelag","bratsberg","BRB","B",3,1.43330836,0.114059055234469
"136","Hedmark","didrik_holmsen","DHB","B",3,1.58036377333333,0.12576135320468
"137","Hedmark","fet_3","FKB","B",3,0.5777207,0.045973552565755
"138","Trøndelag","selbu_flub","FLB","B",3,0.71844672,0.0571721734180794
"139","Trøndelag","hi_tydal","HIB","B",3,2.6487154,0.210778074376813
"140","Hedmark","halvard_pramhus","HPB","B",3,0.30690125,0.0244224254892908
"141","Trøndelag","selbu_kl","KLB","B",3,1.03179398666667,0.0821075566152466
