"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Mean_Plot_Pine_Biomass_kg","Mean_Plot_Pine_Biomass_kg_m2"
"142","Telemark","kviteseid2","2KVB","B",4,0.65227,0.0519059973652753
"143","Trøndelag","verdal_2vb","2VBB","B",4,0.06866,0.00546378919634477
"144","Telemark","drangedal3","3DRB","B",4,0.06866,0.00546378919634477
"145","Telemark","notodden3","3NOB","B",4,2.16279,0.17210935968486
"146","Telemark","drangedal4","4DRB","B",4,0.13732,0.0109275783926895
"147","Telemark","notodden5","5NOB","B",4,0.24031,0.0191232621872067
"148","Telemark","notodden6","6NOB","B",4,1.78516,0.142058519104964
"149","Trøndelag","bratsberg","BRB","B",4,0.13732,0.0109275783926895
"150","Hedmark","didrik_holmsen","DHB","B",4,0.183093333333333,0.014570104523586
"151","Trøndelag","hi_tydal","HIB","B",4,0.06866,0.00546378919634477
"152","Hedmark","halvard_pramhus","HPB","B",4,5.200995,0.413882031623116
"153","Trøndelag","selbu_kl","KLB","B",4,4.84053,0.385197138342306
"154","Trøndelag","singsaas","LAB","B",4,0.89258,0.071029259552482
"155","Hedmark","stig_dahlen","SDB","B",4,0.06866,0.00546378919634477
"156","Trøndelag","sl_tydal","SEB","B",4,0.30897,0.0245870513835515
"157","Hedmark","stangeskovene_aurskog","SSAB","B",4,1.14433333333333,0.0910631532724128
"158","Hedmark","stangeskovene_eidskog","SSBB","B",4,0.82392,0.0655654703561372
"159","Hedmark","eidskog","STSKNB","B",4,3.02104,0.24040672463917
"160","Hedmark","truls_holm","THB","B",4,1.150055,0.0915184690387748
"161","Telemark","nome_cappelen1","1CAUB","UB",4,0.4583551875,0.0364747468912188
"162","Telemark","drangedal1","1DRUB","UB",4,0.33675075,0.0267977732262015
"163","Telemark","fritsoe1","1FRUB","UB",4,0.31180625,0.0248127529872236
"164","Telemark","furesdal","1FYUB","UB",4,0.4022300625,0.0320084513535185
"165","Telemark","kviteseid1","1KVUB","UB",4,0.318042375,0.0253090080469681
"166","Trøndelag","verdal_1vb","1VBUB","UB",4,0.168375375,0.0133988866131008
"167","Telemark","nome_cappelen2","2CAUB","UB",4,1.290877875,0.102724797367106
"168","Telemark","kviteseid2","2KVUB","UB",4,0.056125125,0.00446629553770026
"169","Trøndelag","verdal_2vb","2VBUB","UB",4,0.149667,0.0119101214338673
"170","Telemark","drangedal3","3DRUB","UB",4,0.0748335,0.00595506071693367
"171","Telemark","kviteseid3","3KVUB","UB",4,0.03741675,0.00297753035846684
"172","Telemark","notodden3","3NOUB","UB",4,1.18486375,0.0942884613514499
"173","Telemark","notodden5","5NOUB","UB",4,0.199556,0.0158801619118231
"174","Telemark","notodden6","6NOUB","UB",4,0.9634813125,0.0766714067305211
"175","Trøndelag","bratsberg","BRUB","UB",4,0.03741675,0.00297753035846684
"176","Hedmark","fet_3","FKUB","UB",4,0.149667,0.0119101214338673
"177","Trøndelag","hi_tydal","HIUB","UB",4,0.149667,0.0119101214338673
"178","Hedmark","halvard_pramhus","HPUB","UB",4,1.03519675,0.0823783399175825
"179","Trøndelag","selbu_kl","KLUB","UB",4,3.25525725,0.259045141186615
"180","Trøndelag","singsaas","LAUB","UB",4,0.243208875,0.0193539473300344
"181","Trøndelag","malvik","MAUB","UB",4,0.7389808125,0.05880622457972
"182","Hedmark","stig_dahlen","SDUB","UB",4,0.6267305625,0.0498736335043195
"183","Trøndelag","sl_tydal","SEUB","UB",4,0.205792125,0.0163764169715676
"184","Hedmark","stangeskovene_aurskog","SSAUB","UB",4,0.46147325,0.036722874421091
"185","Hedmark","stangeskovene_eidskog","SSBUB","UB",4,0.11225025,0.00893259107540051
"186","Hedmark","eidskog","STSKNUB","UB",4,2.1046921875,0.16748608266376
"187","Hedmark","truls_holm","THUB","UB",4,0.33675075,0.0267977732262015
"188","Trøndelag","steinkjer_1bbb","1BBB","B",5,0.27464,0.0218551567853791
"189","Telemark","nome_cappelen1","1CAB","B",5,1.630675,0.129764993413188
"190","Telemark","drangedal1","1DRB","B",5,2.12846,0.169377465086688
"191","Telemark","fritsoe1","1FRB","B",5,0.48062,0.0382465243744134
"192","Telemark","furesdal","1FYB","B",5,0.738095,0.0587357338607062
"193","Telemark","kviteseid1","1KVB","B",5,1.16722,0.092884416337861
"194","Trøndelag","nsb_verdal","1NSB","B",5,0.20598,0.0163913675890343
"195","Trøndelag","sub_namdalseid","1SB","B",5,0.06866,0.00546378919634477
"196","Trøndelag","verdal_1vb","1VBB","B",5,0.457733333333333,0.0364252613089651
"197","Telemark","nome_cappelen2","2CAB","B",5,2.81506,0.224015357050135
"198","Telemark","kviteseid2","2KVB","B",5,1.09856,0.0874206271415163
"199","Trøndelag","verdal_2vb","2VBB","B",5,0.27464,0.0218551567853791
"200","Telemark","drangedal3","3DRB","B",5,0.24031,0.0191232621872067
"201","Telemark","notodden3","3NOB","B",5,2.95238,0.234942935442825
"202","Telemark","drangedal4","4DRB","B",5,0.06866,0.00546378919634477
"203","Telemark","notodden5","5NOB","B",5,0.44629,0.035514629776241
"204","Telemark","notodden6","6NOB","B",5,2.214285,0.176207201582119
"205","Trøndelag","bratsberg","BRB","B",5,0.13732,0.0109275783926895
"206","Hedmark","didrik_holmsen","DHB","B",5,0.48062,0.0382465243744134
"207","Trøndelag","hi_tydal","HIB","B",5,0.06866,0.00546378919634477
"208","Hedmark","halvard_pramhus","HPB","B",5,5.90476,0.46988587088565
"209","Trøndelag","selbu_kl","KLB","B",5,4.686045,0.37290361265053
"210","Trøndelag","singsaas","LAB","B",5,0.61794,0.0491741027671029
"211","Hedmark","stig_dahlen","SDB","B",5,0.06866,0.00546378919634477
"212","Trøndelag","sl_tydal","SEB","B",5,0.44629,0.035514629776241
"213","Hedmark","stangeskovene_aurskog","SSAB","B",5,1.55629333333333,0.123845888450481
"214","Hedmark","stangeskovene_eidskog","SSBB","B",5,0.732373333333333,0.0582804180943442
"215","Hedmark","eidskog","STSKNB","B",5,4.445735,0.353780350463324
"216","Hedmark","truls_holm","THB","B",5,2.042635,0.162547728591257
"217","Telemark","nome_cappelen1","1CAUB","UB",5,0.598668,0.0476404857354694
"218","Telemark","drangedal1","1DRUB","UB",5,0.598668,0.0476404857354694
"219","Telemark","fritsoe1","1FRUB","UB",5,0.61114025,0.0486329958549584
"220","Telemark","furesdal","1FYUB","UB",5,0.7233905,0.0575655869303589
"221","Telemark","kviteseid1","1KVUB","UB",5,0.542542875,0.0431741901977691
"222","Trøndelag","verdal_1vb","1VBUB","UB",5,0.149667,0.0119101214338674
"223","Telemark","nome_cappelen2","2CAUB","UB",5,1.9176084375,0.152598430871425
"224","Telemark","kviteseid2","2KVUB","UB",5,0.056125125,0.00446629553770026
"225","Trøndelag","verdal_2vb","2VBUB","UB",5,0.33675075,0.0267977732262015
"226","Telemark","drangedal3","3DRUB","UB",5,0.08730575,0.00694757083642262
"227","Telemark","kviteseid3","3KVUB","UB",5,0.03741675,0.00297753035846684
"228","Telemark","notodden3","3NOUB","UB",5,1.8708375,0.148876517923342
"229","Telemark","notodden5","5NOUB","UB",5,0.199556,0.0158801619118231
"230","Telemark","notodden6","6NOUB","UB",5,1.30958625,0.104213562546339
"231","Trøndelag","bratsberg","BRUB","UB",5,0.03741675,0.00297753035846684
"232","Hedmark","fet_3","FKUB","UB",5,0.33675075,0.0267977732262015
"233","Trøndelag","hi_tydal","HIUB","UB",5,0.149667,0.0119101214338673
"234","Hedmark","halvard_pramhus","HPUB","UB",5,1.546559,0.123071254816629
"235","Trøndelag","selbu_kl","KLUB","UB",5,3.891342,0.309663157280551
"236","Trøndelag","singsaas","LAUB","UB",5,0.3741675,0.0297753035846684
"237","Trøndelag","malvik","MAUB","UB",5,1.0196064375,0.0811377022682213
"238","Hedmark","stig_dahlen","SDUB","UB",5,1.2066901875,0.0960253540605555
"239","Trøndelag","sl_tydal","SEUB","UB",5,0.41158425,0.0327528339431352
"240","Hedmark","stangeskovene_aurskog","SSAUB","UB",5,0.76080725,0.0605431172888257
"241","Hedmark","stangeskovene_eidskog","SSBUB","UB",5,0.1777295625,0.0141432692027175
"242","Hedmark","eidskog","STSKNUB","UB",5,2.5724015625,0.204705212144595
"243","Hedmark","truls_holm","THUB","UB",5,0.46147325,0.036722874421091
"244","Trøndelag","steinkjer_1bbb","1BBB","B",6,0.27464,0.0218551567853791
"245","Telemark","nome_cappelen1","1CAB","B",6,2.248615,0.178939096180291
"246","Telemark","drangedal1","1DRB","B",6,3.05537,0.243138619237342
"247","Telemark","fritsoe1","1FRB","B",6,0.595053333333333,0.0473528397016547
"248","Telemark","furesdal","1FYB","B",6,0.944075,0.0751271014497406
"249","Telemark","kviteseid1","1KVB","B",6,1.78516,0.142058519104964
"250","Trøndelag","nsb_verdal","1NSB","B",6,0.30897,0.0245870513835515
"251","Trøndelag","sub_namdalseid","1SB","B",6,0.06866,0.00546378919634477
"252","Trøndelag","verdal_1vb","1VBB","B",6,0.572166666666667,0.0455315766362064
"253","Telemark","nome_cappelen2","2CAB","B",6,3.656145,0.290946774705359
