"","Region","LocalityName","LocalityCode","Treatment","Years_Since_Exclosure","Month","Mean_Plot_Albedo","Delta_Albedo","Mean_Plot_Biomass_kg_m2","Mean_Plot_Biomass_kg_ha","Delta_Biomass_kg_m2","Delta_Biomass_kg_ha"
"87","Trøndelag","selbu_sl","SLB","B",2,1,0.423488677454239,0.088145507314852,0.0448291783911172,448.291783911172,0.0239128340410899,239.128340410899
"88","Hedmark","eidskog","STSKNB","B",2,1,0.403295736634226,NA,0.125559274306065,1255.59274306065,NA,NA
"89","Trøndelag","steinkjer_1bbb","1BBUB","UB",2,1,0.446752505423138,0.09854570241528,0.0775891150214752,775.891150214752,0.0552929756986507,552.929756986507
"90","Telemark","nome_cappelen1","1CAUB","UB",2,1,0.421368723994152,0.083400846925242,0.00965435774760386,96.5435774760386,-0.0938621946779301,-938.621946779301
"91","Telemark","drangedal1","1DRUB","UB",2,1,0.442081588135421,0.0988286995212352,0.0150207282032821,150.207282032821,0.00200955397345551,20.0955397345551
"92","Telemark","fritsoe1","1FRUB","UB",2,1,0.439235132748452,0.0947928163095695,0.0804832253112388,804.832253112388,0.0274407313441778,274.407313441778
"93","Telemark","furesdal","1FYUB","UB",2,1,0.414148473510943,0.0851966407205778,0.0244045315000953,244.045315000953,-0.174716705592879,-1747.16705592879
"94","Trøndelag","namdalseid_1kub","1KUB","UB",2,1,0.441770839882099,0.102295561690358,0.154887461919669,1548.87461919669,0.0295915502504032,295.915502504032
"95","Telemark","kviteseid1","1KVUB","UB",2,1,0.437979497091295,0.091761657402359,0.0462460079233972,462.460079233972,0.012418969628484,124.18969628484
"96","Trøndelag","nsb_verdal","1NSUB","UB",2,1,0.449264535272142,0.105830422990035,0.0206445128797619,206.445128797619,0.0104006084183651,104.006084183651
"97","Trøndelag","sub_namdalseid","1SUB","UB",2,1,0.444767399472141,0.100288316985217,0.0132094723364535,132.094723364535,0.00483092945950773,48.3092945950773
"98","Trøndelag","verdal_1vb","1VBUB","UB",2,1,0.424699931456378,0.0792431740110893,0.024434900252674,244.34900252674,-0.00499241403307913,-49.9241403307913
"99","Trøndelag","steinkjer_2bbb","2BBUB","UB",2,1,0.451903812601736,0.103486554652359,0.113739409640425,1137.39409640425,0.00782447876299677,78.2447876299677
"100","Telemark","nome_cappelen2","2CAUB","UB",2,1,0.427187881455785,0.0816401147406575,0.060117630474527,601.17630474527,0.0202766699964144,202.766699964144
"101","Telemark","fritsoe2","2FRUB","UB",2,1,0.440034070501851,0.094249429810048,0.053807423459831,538.07423459831,0.0444928664893203,444.928664893203
"102","Telemark","kviteseid2","2KVUB","UB",2,1,0.424629281441778,0.0877888771340152,0.0389330014221413,389.330014221413,0.0119322887332849,119.322887332849
"103","Trøndelag","verdal_2vb","2VBUB","UB",2,1,0.428500861606781,0.0885586139099637,0.0756973128273846,756.973128273846,0.0175853817925351,175.853817925351
"104","Telemark","drangedal3","3DRUB","UB",2,1,0.446057623122356,0.100888528826572,0.00517738689209572,51.7738689209572,NA,NA
