LocalityName,Years_Since_Exclosure,Delta_C,Delta_A,RF_Delta_C,RF_Delta_A,Net_RF,C_Eq_Delta_C,C_Eq_Delta_A,Net_C_Eq
fritsoe2,7,1.891877146,-0.001220103,-1.21E-15,4.41E-16,-7.73E-16,-0.693688287,0.252063716,-0.441624571
fritsoe2,8,1.87976051,0.001663222,-1.21E-15,-3.35E-18,-1.21E-15,-0.68924552,-0.001912905,-0.691158425
fritsoe2,9,1.765240197,0.002593929,-1.13E-15,-1.46E-16,-1.28E-15,-0.647254739,-0.083534687,-0.730789426
furesdal,1,0.931645783,-0.003231745,-5.98E-16,6.94E-16,9.63E-17,-0.341603454,0.396625917,0.055022463
furesdal,2,-0.019973566,0.00622877,1.28E-17,-6.35E-16,-6.22E-16,0.007323641,-0.362809811,-0.35548617
furesdal,3,1.166331333,-0.00675249,-7.48E-16,1.15E-15,3.97E-16,-0.427654822,0.654527099,0.226872277
furesdal,4,1.489269361,-0.00540383,-9.56E-16,1.11E-15,1.50E-16,-0.546065433,0.632035671,0.085970239
furesdal,5,1.110813002,-0.000407761,-7.13E-16,3.57E-16,-3.55E-16,-0.407298101,0.204238505,-0.203059596
furesdal,6,1.511736122,-0.00526905,-9.70E-16,9.84E-16,1.38E-17,-0.554303245,0.5622171,0.007913856
furesdal,7,1.522945404,-0.005975304,-9.77E-16,1.11E-15,1.33E-16,-0.558413315,0.634229872,0.075816557
furesdal,8,1.529946809,-0.006605955,-9.82E-16,1.17E-15,1.88E-16,-0.560980497,0.668194463,0.107213967
furesdal,9,1.662560951,-0.007625624,-1.07E-15,1.32E-15,2.56E-16,-0.609605682,0.755761915,0.146156233
halvard_pramhus,3,-1.507563371,0.011570989,9.67E-16,-1.99E-15,-1.02E-15,0.552773236,-1.134544034,-0.581770798
halvard_pramhus,4,-1.937117377,0.012105941,1.24E-15,-2.06E-15,-8.13E-16,0.710276371,-1.175052493,-0.464776122
halvard_pramhus,5,-1.84548345,0.011422765,1.18E-15,-1.95E-15,-7.67E-16,0.676677265,-1.115242911,-0.438565646
halvard_pramhus,6,-3.012110856,0.0151611,1.93E-15,-2.57E-15,-6.40E-16,1.104440647,-1.470014293,-0.365573645
halvard_pramhus,7,-3.72185608,0.016791744,2.39E-15,-2.87E-15,-4.78E-16,1.364680563,-1.63767359,-0.272993028
halvard_pramhus,8,-4.003504338,0.014040918,2.57E-15,-2.38E-15,1.93E-16,1.467951591,-1.357932323,0.110019267
hi_tydal,1,-0.55429954,0.002233234,3.56E-16,-3.77E-16,-2.13E-17,0.203243165,-0.215401914,-0.012158749
hi_tydal,2,-0.737997846,0.004072915,4.74E-16,-6.21E-16,-1.47E-16,0.27059921,-0.354622821,-0.084023611
