"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch"
"108","Nome_Cappelen1","1CAB","ØV",2014,0.142857142857143,0.571428571428571,0.285714285714286
"109","Nome_Cappelen1","1CAB","NH",2015,0.0869565217391304,0.652173913043478,0.260869565217391
"110","Nome_Cappelen1","1CAB","NV",2015,0.0294117647058824,0.970588235294118,0
"111","Nome_Cappelen1","1CAB","ØH",2015,0.153846153846154,0.230769230769231,0.615384615384615
"112","Nome_Cappelen1","1CAB","ØV",2015,0.142857142857143,0.571428571428571,0.285714285714286
"113","Nome_Cappelen1","1CAB","NH",2016,0.166666666666667,0.583333333333333,0.25
"114","Nome_Cappelen1","1CAB","NV",2016,0.0303030303030303,0.96969696969697,0
"115","Nome_Cappelen1","1CAB","ØH",2016,0.142857142857143,0.214285714285714,0.642857142857143
"116","Nome_Cappelen1","1CAB","ØV",2016,0.142857142857143,0.571428571428571,0.285714285714286
"117","Nome_Cappelen1","1CAB","NV",2017,0.0540540540540541,0.945945945945946,0
"118","Nome_Cappelen1","1CAB","ØH",2017,0.125,0.3125,0.5625
"119","Nome_Cappelen1","1CAB","ØV",2017,0.25,0.5,0.25
"120","Nome_Cappelen1","1CAB","NH",2018,0.181818181818182,0.545454545454545,0.272727272727273
"121","Nome_Cappelen1","1CAB","NV",2018,0.0571428571428571,0.942857142857143,0
"122","Nome_Cappelen1","1CAB","ØH",2018,0.111111111111111,0.388888888888889,0.5
"123","Nome_Cappelen1","1CAB","ØV",2018,0.25,0.5,0.25
"124","Nome_Cappelen1","1CAUB","NH",2010,0.666666666666667,0,0.333333333333333
"125","Nome_Cappelen1","1CAUB","NV",2010,0.222222222222222,0.777777777777778,0
"126","Nome_Cappelen1","1CAUB","ØH",2010,0.2,0.6,0.2
"127","Nome_Cappelen1","1CAUB","ØV",2010,0.125,0.875,0
"128","Nome_Cappelen1","1CAUB","NH",2011,0,0,1
"129","Nome_Cappelen1","1CAUB","NV",2011,0.1,0.9,0
"130","Nome_Cappelen1","1CAUB","ØH",2011,0.2,0.6,0.2
"131","Nome_Cappelen1","1CAUB","ØV",2011,0.125,0.875,0
"132","Nome_Cappelen1","1CAUB","NH",2012,0.75,0,0.25
"133","Nome_Cappelen1","1CAUB","NV",2012,0.0588235294117647,0.941176470588235,0
"134","Nome_Cappelen1","1CAUB","ØH",2012,0.555555555555556,0.333333333333333,0.111111111111111
"135","Nome_Cappelen1","1CAUB","ØV",2012,0.05,0.95,0
"136","Nome_Cappelen1","1CAUB","NH",2013,0.5,0.25,0.25
"137","Nome_Cappelen1","1CAUB","NV",2013,0.111111111111111,0.888888888888889,0
"138","Nome_Cappelen1","1CAUB","ØH",2013,0.2,0.6,0.2
"139","Nome_Cappelen1","1CAUB","ØV",2013,0.1,0.9,0
"140","Nome_Cappelen1","1CAUB","NH",2014,0.5,0.25,0.25
"141","Nome_Cappelen1","1CAUB","NV",2014,0.111111111111111,0.888888888888889,0
"142","Nome_Cappelen1","1CAUB","ØH",2014,0.142857142857143,0.714285714285714,0.142857142857143
"143","Nome_Cappelen1","1CAUB","ØV",2014,0.142857142857143,0.857142857142857,0
"144","Nome_Cappelen1","1CAUB","NH",2015,0.222222222222222,0.666666666666667,0.111111111111111
"145","Nome_Cappelen1","1CAUB","NV",2015,0.0769230769230769,0.923076923076923,0
"146","Nome_Cappelen1","1CAUB","ØH",2015,0.1,0.8,0.1
"147","Nome_Cappelen1","1CAUB","ØV",2015,0.0714285714285714,0.928571428571429,0
"148","Nome_Cappelen1","1CAUB","NH",2016,0.222222222222222,0.666666666666667,0.111111111111111
"149","Nome_Cappelen1","1CAUB","NV",2016,0.0833333333333333,0.916666666666667,0
"150","Nome_Cappelen1","1CAUB","ØH",2016,0.1,0.8,0.1
"151","Nome_Cappelen1","1CAUB","ØV",2016,0.0714285714285714,0.928571428571429,0
"152","Nome_Cappelen1","1CAUB","NH",2017,0.181818181818182,0.727272727272727,0.0909090909090909
"153","Nome_Cappelen1","1CAUB","NV",2017,0.0833333333333333,0.916666666666667,0
"154","Nome_Cappelen1","1CAUB","ØH",2017,0.0833333333333333,0.833333333333333,0.0833333333333333
"155","Nome_Cappelen1","1CAUB","ØV",2017,0.0833333333333333,0.916666666666667,0
"156","Nome_Cappelen1","1CAUB","NH",2018,0.166666666666667,0.75,0.0833333333333333
"157","Nome_Cappelen1","1CAUB","NV",2018,0.0833333333333333,0.916666666666667,0
"158","Nome_Cappelen1","1CAUB","ØH",2018,0.0833333333333333,0.833333333333333,0.0833333333333333
"159","Nome_Cappelen1","1CAUB","ØV",2018,0.0909090909090909,0.909090909090909,0
"160","Drangedal1","1DRB","NH",2010,0.333333333333333,0.0833333333333333,0.583333333333333
"161","Drangedal1","1DRB","NV",2010,0.5,0.4,0.1
"162","Drangedal1","1DRB","ØH",2010,0.5,0.5,0
"163","Drangedal1","1DRB","ØV",2010,0.727272727272727,0.181818181818182,0.0909090909090909
"164","Drangedal1","1DRB","NH",2011,0.16,0.04,0.8
"165","Drangedal1","1DRB","NV",2011,0.25,0.25,0.5
"166","Drangedal1","1DRB","ØH",2011,0.176470588235294,0.294117647058824,0.529411764705882
"167","Drangedal1","1DRB","ØV",2011,0.5,0.125,0.375
"168","Drangedal1","1DRB","NH",2012,0.173913043478261,0.0434782608695652,0.782608695652174
"169","Drangedal1","1DRB","NV",2012,0.3125,0.3125,0.375
