"","LocalityName","LocalityCode","Plot","Year","Prop_spruce","Prop_pine","Prop_birch","Prop_decid"
"137","Nome_Cappelen1","1CAUB","NV",2013,0.111111111111111,0.888888888888889,0,0
"138","Nome_Cappelen1","1CAUB","ØH",2013,0.2,0.6,0.2,0
"139","Nome_Cappelen1","1CAUB","ØV",2013,0.1,0.9,0,0
"140","Nome_Cappelen1","1CAUB","NH",2014,0.5,0.25,0,0.25
"141","Nome_Cappelen1","1CAUB","NV",2014,0.111111111111111,0.888888888888889,0,0
"142","Nome_Cappelen1","1CAUB","ØH",2014,0.142857142857143,0.714285714285714,0.142857142857143,0
"143","Nome_Cappelen1","1CAUB","ØV",2014,0.142857142857143,0.857142857142857,0,0
"144","Nome_Cappelen1","1CAUB","NH",2015,0.222222222222222,0.666666666666667,0,0.111111111111111
"145","Nome_Cappelen1","1CAUB","NV",2015,0.0769230769230769,0.923076923076923,0,0
"146","Nome_Cappelen1","1CAUB","ØH",2015,0.1,0.8,0.1,0
"147","Nome_Cappelen1","1CAUB","ØV",2015,0.0714285714285714,0.928571428571429,0,0
"148","Nome_Cappelen1","1CAUB","NH",2016,0.222222222222222,0.666666666666667,0,0.111111111111111
"149","Nome_Cappelen1","1CAUB","NV",2016,0.0833333333333333,0.916666666666667,0,0
"150","Nome_Cappelen1","1CAUB","ØH",2016,0.1,0.8,0.1,0
"151","Nome_Cappelen1","1CAUB","ØV",2016,0.0714285714285714,0.928571428571429,0,0
"152","Nome_Cappelen1","1CAUB","NH",2017,0.181818181818182,0.727272727272727,0,0.0909090909090909
"153","Nome_Cappelen1","1CAUB","NV",2017,0.0833333333333333,0.916666666666667,0,0
"154","Nome_Cappelen1","1CAUB","ØH",2017,0.0833333333333333,0.833333333333333,0.0833333333333333,0
"155","Nome_Cappelen1","1CAUB","ØV",2017,0.0833333333333333,0.916666666666667,0,0
"156","Nome_Cappelen1","1CAUB","NH",2018,0.166666666666667,0.75,0,0.0833333333333333
"157","Nome_Cappelen1","1CAUB","NV",2018,0.0833333333333333,0.916666666666667,0,0
"158","Nome_Cappelen1","1CAUB","ØH",2018,0.0833333333333333,0.833333333333333,0.0833333333333333,0
"159","Nome_Cappelen1","1CAUB","ØV",2018,0.0909090909090909,0.909090909090909,0,0
