LocalityName,LocalityCode,ExperimentID,Region,DistrictID,Treatment,Longitude,Latitude,Clear.cut,Year.initiated,LiDAR.data.from.year,Point.density...m.2.,Resolution..m.,Mean,Median,SD,Min,Max,X1st.Qu.,X3rd.Qu.,IQR,ClearCutToLidar,CV,IQR_med,MAD,MAD_med,productivity,diff_median_ex_op
Furesdal,1FYB,{8CE41C97-B47B-498D-B8DE-F9318B06F05C},Telemark,831,Open plot,8092094,59336119,2007,2009,2017,2,0.5,0.256416666238159,0.159999996423721,0.350347733996896,-0.0579999983310699,2.58299994468689,0.0839999988675117,0.272000007331371,0.188000008463859,10,1.36632200682109,1.17500007916242,0.131210100795329,0.820063148300648,0.0580350472734916,
Furesdal,1FYUB,{E1EB36B9-CF96-424C-AE4B-59F4DA0ECB54},Telemark,831,Exclosure,8092528,59336993,2007,2009,2017,2,0.5,0.765572700937602,0.221000000834465,1.18438930762097,-0.209999993443489,5.48400020599365,0.11599999666214,1.01900005340576,0.90300005674362,10,1.54706314131949,4.08597309200913,0.226837795758247,1.02641536154633,0.0580350472734916,
Halvard Pramhus,HPB,{365B9355-105E-4EEA-B946-3EF224DF1129},Hedmark,420,Open plot,12156934,60095024,2008,2010,2016,5,0.25,0.58492129736179,0.253499999642372,0.707958567789253,-0.0299999993294477,4.44899988174438,0.141000002622604,0.894750013947487,0.753750011324883,8,1.21034841949234,2.9733728299339,0.209046598365158,0.824641414832634,0.335469416346708,
Halvard Pramhus,HPUB,{768B55CE-D7B2-42F7-BDFA-709547A85DD8},Hedmark,420,Exclosure,12156633,60095602,2008,2010,2016,5,0.25,1.22550115056668,1.20000004768372,1.17050482637136,-0.0520000010728836,6.36399984359741,0.189499996602535,1.89449995756149,1.70499996095896,8,0.955123400602366,1.42083324434028,1.38771367281675,1.1564280147283,0.335469416346708,
Hi_tydal,HIB,{B6F75EEC-1139-48B1-8148-E89730762065},Trondelag,1665,Open plot,11411862,63098123,2005,2008,2015,2,0.5,0.558368909693206,0.231000006198883,0.698485294796595,-0.0599999986588955,3.61100006103516,0.149000003933907,0.703999996185303,0.554999992251396,10,1.25093873005998,2.40259730457998,0.157155609190464,0.680327294256254,0.214070788335689,
Hi_tydal,HIUB,{4293E6E3-8FD7-4E28-8D12-B9A66011FE89},Trondelag,1665,Exclosure,11411103,6309807,2005,2008,2015,2,0.5,1.88257870700262,1.99050003290176,1.03879054293892,-0.0810000002384186,4.1710000038147,1.24649998545647,2.64424991607666,1.39774993062019,10,0.551791295139446,0.702210453411821,1.00372009112835,0.50425524970483,0.214070788335689,
Kviteseid1,1KVB,{55C2C199-CD2E-4DAB-992F-6154F9BBD327},Telemark,829,Open plot,8198916,59343617,2004,2009,2017,5,0.25,1.1901827429254,0.341499999165535,1.40837353414544,-0.0850000008940697,5.72599983215332,0.145249996334314,1.98824998736382,1.84299999102951,13,1.18332545360533,5.39677890346392,0.421058399977908,1.23296749928778,0.105926078491013,
Kviteseid1,1KVUB,{69BD18EC-1914-49D9-8917-D51244471E62},Telemark,829,Exclosure,819852,593433,2004,2009,2017,5,0.25,1.69761136832054,1.83849996328354,1.21336918786112,-0.0649999976158142,4.44899988174438,0.270750001072884,2.66199994087219,2.39124993979931,13,0.714750861418603,1.30065269924105,1.58415825058222,0.861658026771418,0.105926078491013,
Kviteseid2,2KVB,{4BCAF02B-97BF-4422-8227-AC3B19CDBD78},Telemark,829,Open plot,8549483,5930875,2005,2009,2017,5,0.25,0.956211164489714,0.77250000834465,0.904955285230642,-0.0439999997615814,5.58199977874756,0.247749995440245,1.32425001263618,1.07650001719594,12,0.946396903568445,1.39352751529765,0.787260637910664,1.01910761088229,0.106407375541559,
Kviteseid2,2KVUB,{9616FB08-9897-401F-967C-170DBDDBF4A5},Telemark,829,Exclosure,8549302,59309171,2005,2009,2017,5,0.25,1.50583744001359,1.22949999570847,1.38756359428729,-0.0839999988675117,6.76300001144409,0.224750004708767,2.36675006151199,2.14200005680322,12,0.921456431761165,1.74217166675869,1.51151070335805,1.22937023882385,0.106407375541559,
