ExperimentID,Region,DistrictID,LocalityCode,LocalityName,Treatment,Longitude,Latitude,Clear cut,Year initiated
{3B0971EB-C941-4DF0-84F2-2ECC71B0BFE7},Telemark,817,3DRUB,Drangedal3,UB,8.833796,59.056992,2007,2009
{91B5699A-9A5B-490F-B59B-330ABB953204},Telemark,817,4DRB,Drangedal4,B,8.822521,59.022177,2007,2009
{C88B0D7B-54A5-4CA2-8515-F474DA756009},Telemark,817,4DRUB,Drangedal4,UB,8.822454,59.021728,2007,2009
{1345C5C5-BA31-49C1-BB59-BC222904C1F0},Telemark,819,2CAB,Nome_Cappelen2,B,9.12481,59.262313,2006,2009
{F17E7D99-B3D6-4D0A-BF35-16171967FF10},Telemark,819,2CAUB,Nome_Cappelen2,UB,9.124931,59.2619,2006,2009
{55C2C199-CD2E-4DAB-992F-6154F9BBD327},Telemark,829,1KVB,Kviteseid1,B,8.198916,59.343617,2004,2009
{69BD18EC-1914-49D9-8917-D51244471E62},Telemark,829,1KVUB,Kviteseid1,UB,8.19852,59.3433,2004,2009
{4BCAF02B-97BF-4422-8227-AC3B19CDBD78},Telemark,829,2KVB,Kviteseid2,B,8.549483,59.30875,2005,2009
{9616FB08-9897-401F-967C-170DBDDBF4A5},Telemark,829,2KVUB,Kviteseid2,UB,8.549302,59.309171,2005,2009
{E82B89F3-5ECE-4C35-830A-D3D79D974057},Telemark,829,3KVB,Kviteseid3,B,8.267729,59.372355,2000,2009
{9F2668F4-60F3-4EC2-A3F5-C7F7B36F4836},Telemark,829,3KVUB,Kviteseid3,UB,8.266754,59.3727,2000,2009
{8CE41C97-B47B-498D-B8DE-F9318B06F05C},Telemark,831,1FYB,Furesdal,B,8.092094,59.336119,2007,2009
{E1EB36B9-CF96-424C-AE4B-59F4DA0ECB54},Telemark,831,1FYUB,Furesdal,UB,8.092528,59.336993,2007,2009
{5008C498-58CA-4083-AEC2-EE4EEB7277C1},Trøndelag,1601,BRB,Bratsberg,B,10.473511,63.352546,2002,2008
{3CE45121-C8C0-4908-987F-2A1EB936498E},Trøndelag,1601,BRUB,Bratsberg,UB,10.472432,63.352243,2002,2008
