"","Region","LocalityName","LocalityCode","Treatment","Subplot","Years_Since_Exclosure","Group","Volume_m3","Volume_m3ha"
"114","Telemark","kviteseid3","3KVB","B","ØH",1,"Deciduous",0.0023464124631579,1.86721571022004
"115","Telemark","notodden3","3NOB","B","ØH",1,"Deciduous",0.000370279242105263,0.294658858526866
"116","Telemark","drangedal4","4DRB","B","ØH",1,"Deciduous",0.0177384206315789,14.1157866307952
"117","Telemark","notodden4","4NOB","B","ØH",1,"Deciduous",0.000520136842105263,0.413911747526306
"118","Telemark","notodden5","5NOB","B","ØH",1,"Deciduous",0.000606813894736842,0.482887154421067
"119","Telemark","notodden6","6NOB","B","ØH",1,"Deciduous",0.0005072,0.403616935681047
"120","Trøndelag","bratsberg","BRB","B","ØH",1,"Deciduous",0.00297532067368421,2.36768496250175
"121","Trøndelag","selbu_flub","FLB","B","ØH",1,"Deciduous",0.000476515789473684,0.379199216780369
"122","Trøndelag","hi_tydal","HIB","B","ØH",1,"Deciduous",0.00229794021052632,1.82864271717447
"123","Trøndelag","selbu_kl","KLB","B","ØH",1,"Deciduous",0.00252944842105263,2.01287109753258
"124","Trøndelag","singsaas","LAB","B","ØH",1,"Deciduous",0.000353213894736842,0.281078686580544
"125","Trøndelag","malvik","MAB","B","ØH",1,"Deciduous",0.00196569052631579,1.56424681926034
"126","Trøndelag","sl_tydal","SEB","B","ØH",1,"Deciduous",0.000281255410526316,0.223815944283017
"127","Trøndelag","selbu_sl","SLB","B","ØH",1,"Deciduous",0.00112441844210526,0.894783765823705
"128","Trøndelag","steinkjer_1bbb","1BBUB","UB","ØH",1,"Deciduous",0.000397614736842105,0.316411754073021
"129","Telemark","nome_cappelen1","1CAUB","UB","ØH",1,"Deciduous",7.06498947368421e-05,0.0562213998814525
"130","Telemark","drangedal1","1DRUB","UB","ØH",1,"Deciduous",0.000227208421052632,0.180806716613155
"131","Telemark","fritsoe1","1FRUB","UB","ØH",1,"Deciduous",0.0044094,3.50888903034702
"132","Trøndelag","namdalseid_1kub","1KUB","UB","ØH",1,"Deciduous",0.000169700842105263,0.135043639339549
"133","Telemark","kviteseid1","1KVUB","UB","ØH",1,"Deciduous",0.000142005263157895,0.113004197883222
"134","Telemark","notodden1","1NOUB","UB","ØH",1,"Deciduous",0.000312411578947368,0.248609235343088
"135","Trøndelag","steinkjer_2bbb","2BBUB","UB","ØH",1,"Deciduous",0.00398707431578948,3.17281292916316
"136","Telemark","nome_cappelen2","2CAUB","UB","ØH",1,"Deciduous",0.00211531915789474,1.68331750097967
"137","Telemark","fritsoe2","2FRUB","UB","ØH",1,"Deciduous",0.000354660421052631,0.282229795647896
"138","Telemark","kviteseid2","2KVUB","UB","ØH",1,"Deciduous",0.000127452,0.101423079034741
"139","Trøndelag","verdal_2vb","2VBUB","UB","ØH",1,"Deciduous",0.00059895747368421,0.476635213193379
"140","Telemark","kviteseid3","3KVUB","UB","ØH",1,"Deciduous",0.00119501305263158,0.950961171928255
"141","Telemark","drangedal4","4DRUB","UB","ØH",1,"Deciduous",0.000681625263157895,0.542420149839465
"142","Telemark","notodden4","4NOUB","UB","ØH",1,"Deciduous",0.000777854315789474,0.618996796816295
"143","Telemark","notodden5","5NOUB","UB","ØH",1,"Deciduous",0.000552056842105264,0.439312876443774
"144","Telemark","notodden6","6NOUB","UB","ØH",1,"Deciduous",0.00100971452631579,0.803505289874248
"145","Trøndelag","bratsberg","BRUB","UB","ØH",1,"Deciduous",0.00234061768421053,1.86260437165205
"146","Trøndelag","selbu_flub","FLUB","UB","ØH",1,"Deciduous",0.000317402315789474,0.252580737533548
"147","Trøndelag","hi_tydal","HIUB","UB","ØH",1,"Deciduous",0.00226477052631579,1.80224712115996
"148","Trøndelag","selbu_kl","KLUB","UB","ØH",1,"Deciduous",7.06498947368421e-05,0.0562213998814525
"149","Trøndelag","malvik","MAUB","UB","ØH",1,"Deciduous",0.000444854315789474,0.354003816568289
"150","Trøndelag","sl_tydal","SEUB","UB","ØH",1,"Deciduous",0.00130080463157895,1.03514743556311
"151","Trøndelag","selbu_sl","SLUB","UB","ØH",1,"Deciduous",0.000573011789473685,0.455988293723347
"152","Trøndelag","steinkjer_1bbb","1BBB","B","ØV",1,"Deciduous",0.00207381802105263,1.65029194561789
"153","Telemark","nome_cappelen1","1CAB","B","ØV",1,"Deciduous",7.43052631578947e-05,0.0591302496466152
"154","Telemark","drangedal1","1DRB","B","ØV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"155","Telemark","fritsoe1","1FRB","B","ØV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"156","Trøndelag","namdalseid_1kub","1KB","B","ØV",1,"Deciduous",0.00229117018947369,1.82325530559766
"157","Telemark","kviteseid1","1KVB","B","ØV",1,"Deciduous",0.00721719772631579,5.74326346707373
"158","Telemark","notodden1","1NOB","B","ØV",1,"Deciduous",0.00085973187368421,0.684152887152495
"159","Trøndelag","nsb_verdal","1NSB","B","ØV",1,"Deciduous",0.000408377347368421,0.324976367402201
"160","Trøndelag","sub_namdalseid","1SB","B","ØV",1,"Deciduous",0.00120000892631579,0.954936761887779
"161","Trøndelag","steinkjer_2bbb","2BBB","B","ØV",1,"Deciduous",0.00140332707368421,1.11673220275763
"162","Telemark","nome_cappelen2","2CAB","B","ØV",1,"Deciduous",0.00235189473684211,1.87157836500117
"163","Telemark","fritsoe2","2FRB","B","ØV",1,"Deciduous",0.00166551696842105,1.32537629163819
"164","Telemark","kviteseid2","2KVB","B","ØV",1,"Deciduous",0.00237776842105263,1.89216798869169
"165","Trøndelag","verdal_2vb","2VBB","B","ØV",1,"Deciduous",0.0100951429894737,8.03345953997115
"166","Telemark","kviteseid3","3KVB","B","ØV",1,"Deciduous",0.0029388544,2.33866602393683
"167","Telemark","notodden3","3NOB","B","ØV",1,"Deciduous",0.000222915789473684,0.177390748939845
"168","Telemark","drangedal4","4DRB","B","ØV",1,"Deciduous",0.00166070644210526,1.32154819642804
"169","Telemark","notodden4","4NOB","B","ØV",1,"Deciduous",0.000222915789473684,0.177390748939845
"170","Telemark","notodden5","5NOB","B","ØV",1,"Deciduous",0.00282888732631579,2.25115700716587
"171","Telemark","notodden6","6NOB","B","ØV",1,"Deciduous",0.000625126315789474,0.4974597160736
"172","Trøndelag","bratsberg","BRB","B","ØV",1,"Deciduous",0.00409012581052631,3.25481870306504
"173","Trøndelag","selbu_flub","FLB","B","ØV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"174","Trøndelag","hi_tydal","HIB","B","ØV",1,"Deciduous",0.000996652631578947,0.793110964306675
"175","Trøndelag","malvik","MAB","B","ØV",1,"Deciduous",0.00029487427368421,0.234653491237372
"176","Trøndelag","sl_tydal","SEB","B","ØV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"177","Trøndelag","selbu_sl","SLB","B","ØV",1,"Deciduous",5.83396210526316e-05,0.0464251953431716
"178","Trøndelag","steinkjer_1bbb","1BBUB","UB","ØV",1,"Deciduous",0.00117758547368421,0.937092745250265
"179","Telemark","drangedal1","1DRUB","UB","ØV",1,"Deciduous",0.000922681473684211,0.734246587180784
"180","Telemark","fritsoe1","1FRUB","UB","ØV",1,"Deciduous",7.06498947368421e-05,0.0562213998814525
"181","Trøndelag","namdalseid_1kub","1KUB","UB","ØV",1,"Deciduous",0.000317402315789474,0.252580737533548
"182","Telemark","notodden1","1NOUB","UB","ØV",1,"Deciduous",0.00103628568421053,0.82464994548736
"183","Trøndelag","nsb_verdal","1NSUB","UB","ØV",1,"Deciduous",0.000141299789473684,0.112442799762905
"184","Trøndelag","sub_namdalseid","1SUB","UB","ØV",1,"Deciduous",0.000624823157894737,0.497218470686176
"185","Trøndelag","verdal_1vb","1VBUB","UB","ØV",1,"Deciduous",0.00898645094736842,7.15119044563265
"186","Trøndelag","steinkjer_2bbb","2BBUB","UB","ØV",1,"Deciduous",0.000800220210526316,0.636795010336502
"187","Telemark","nome_cappelen2","2CAUB","UB","ØV",1,"Deciduous",0.00299583178947369,2.38400718983288
"188","Telemark","fritsoe2","2FRUB","UB","ØV",1,"Deciduous",0.000170406315789474,0.135605037459866
"189","Trøndelag","verdal_2vb","2VBUB","UB","ØV",1,"Deciduous",0.00157420821052632,1.25271509080555
"190","Telemark","drangedal3","3DRUB","UB","ØV",1,"Deciduous",5.68021052631579e-05,0.0452016791532887
"191","Telemark","kviteseid3","3KVUB","UB","ØV",1,"Deciduous",0.0019849652631579,1.57958516748642
"192","Telemark","notodden3","3NOUB","UB","ØV",1,"Deciduous",0.00043100652631579,0.342984095840125
"193","Telemark","drangedal4","4DRUB","UB","ØV",1,"Deciduous",0.0012109772631579,0.96366508701737
"194","Telemark","notodden4","4NOUB","UB","ØV",1,"Deciduous",0.000664250105263158,0.528593438509717
"195","Telemark","notodden5","5NOUB","UB","ØV",1,"Deciduous",0.000396203789473684,0.315288957832387
"196","Telemark","notodden6","6NOUB","UB","ØV",1,"Deciduous",0.000557753052631579,0.443845776754549
"197","Trøndelag","bratsberg","BRUB","UB","ØV",1,"Deciduous",0.000965635789473684,0.768428545605908
"198","Trøndelag","selbu_flub","FLUB","UB","ØV",1,"Deciduous",0.00122166421052632,0.972169489518605
"199","Trøndelag","hi_tydal","HIUB","UB","ØV",1,"Deciduous",0.000945805263157895,0.752647914169549
"200","Trøndelag","selbu_kl","KLUB","UB","ØV",1,"Deciduous",0.000184254105263158,0.14662475818803
"201","Trøndelag","malvik","MAUB","UB","ØV",1,"Deciduous",0.000494549263157895,0.393549799170168
"202","Trøndelag","selbu_sl","SLUB","UB","ØV",1,"Deciduous",0.000473960842105264,0.37716605426525
"203","Hedmark","nes_1","DDB","B","NE",2,"Deciduous",0.00247944210526315,1.97307733581403
"204","Hedmark","fet_3","FKB","B","NE",2,"Deciduous",0.000975993431578948,0.776670895305055
"205","Hedmark","kongsvinger_1","IAAB","B","NE",2,"Deciduous",0.002258712,1.79742589910491
"206","Hedmark","kongsvinger_2","JCDB","B","NE",2,"Deciduous",0.00104027368421053,0.827823495052613
"207","Hedmark","nes_2","OLB","B","NE",2,"Deciduous",0.00108870526315789,0.866364121008708
"208","Hedmark","sorum_1","SKB","B","NE",2,"Deciduous",0.000307663747368421,0.244831031019301
"209","Hedmark","fet_3","FKUB","UB","NE",2,"Deciduous",0.000777515368421053,0.618727071070634
"210","Hedmark","kongsvinger_1","IAAUB","UB","NE",2,"Deciduous",0.00111412273684211,0.88659070389746
"211","Hedmark","kongsvinger_2","JCDUB","UB","NE",2,"Deciduous",0.000538914526315789,0.428854553835926
"212","Hedmark","nes_2","OLUB","UB","NE",2,"Deciduous",0.000669607368421052,0.532856613074832
"213","Hedmark","sorum_1","SKUB","UB","NE",2,"Deciduous",0.000740257263157895,0.589078012956285
"214","Trøndelag","steinkjer_1bbb","1BBB","B","NH",2,"Deciduous",0.00141850147368421,1.1288076065999
"215","Telemark","nome_cappelen1","1CAB","B","NH",2,"Deciduous",0.000528232757894737,0.420354272610059
"216","Telemark","drangedal1","1DRB","B","NH",2,"Deciduous",0.00148610526315789,1.1826049929323
"217","Telemark","fritsoe1","1FRB","B","NH",2,"Deciduous",0.000116679242105263,0.0928503906863431
"218","Telemark","furesdal","1FYB","B","NH",2,"Deciduous",0.000927157894736842,0.737808809870218
"219","Trøndelag","namdalseid_1kub","1KB","B","NH",2,"Deciduous",0.00225912968421053,1.79775828163869
"220","Telemark","kviteseid1","1KVB","B","NH",2,"Deciduous",0.000700075452631579,0.557102344118059
"221","Telemark","notodden1","1NOB","B","NH",2,"Deciduous",0.00157217911578947,1.2511003885187
"222","Trøndelag","nsb_verdal","1NSB","B","NH",2,"Deciduous",0.00108756741052632,0.865458646654579
"223","Trøndelag","sub_namdalseid","1SB","B","NH",2,"Deciduous",0.000485858778947368,0.38663413157033
"224","Trøndelag","verdal_1vb","1VBB","B","NH",2,"Deciduous",0.000132644884210526,0.105555444989787
"225","Trøndelag","steinkjer_2bbb","2BBB","B","NH",2,"Deciduous",0.00446378046315789,3.55216362794304
"226","Telemark","fritsoe2","2FRB","B","NH",2,"Deciduous",5.83396210526316e-05,0.0464251953431716
"227","Telemark","kviteseid2","2KVB","B","NH",2,"Deciduous",0.00661466315789473,5.26378169233397
"228","Telemark","drangedal3","3DRB","B","NH",2,"Deciduous",0.000222915789473684,0.177390748939845
"229","Telemark","kviteseid3","3KVB","B","NH",2,"Deciduous",0.00336156555789473,2.67504887533206
"230","Telemark","notodden3","3NOB","B","NH",2,"Deciduous",0.000541022231578948,0.430531812391988
