"","Region","LocalityName","Years_Since_Exclosure","Delta_C","Delta_A","RF_Delta_C","RF_Delta_A","Net_RF","C_Eq_Delta_C","C_Eq_Delta_A","Net_C_Eq"
"89","Trøndelag","hi_tydal",1,-0.55429954,0.002233234,3.56e-16,-3.77e-16,-2.13e-17,0.203243165,-0.215401914,-0.012158749
"90","Trøndelag","hi_tydal",2,-0.737997846,0.004072915,4.74e-16,-6.21e-16,-1.47e-16,0.27059921,-0.354622821,-0.084023611
"91","Trøndelag","hi_tydal",3,-0.468384419,0.002048136,3.01e-16,-3.41e-16,-4.03e-17,0.171740954,-0.194756603,-0.02301565
"92","Trøndelag","hi_tydal",4,-0.1772644,0.003029073,1.14e-16,-4.4e-16,-3.27e-16,0.064996947,-0.251594849,-0.186597902
"93","Trøndelag","hi_tydal",5,-0.029206224,0.000422837,1.87e-17,-1.01e-16,-8.18e-17,0.010708949,-0.057449402,-0.046740454
"94","Trøndelag","hi_tydal",6,-0.061761431,0.000325181,3.96e-17,-9.06e-17,-5.1e-17,0.022645858,-0.05179056,-0.029144702
"95","Trøndelag","hi_tydal",7,-0.404308717,-0.000286074,2.59e-16,-3.98e-18,2.55e-16,0.148246529,-0.002272903,0.145973627
"96","Trøndelag","hi_tydal",8,3.747909539,-0.017156461,-2.4e-15,2.41e-15,1.92e-18,-1.374233498,1.375328092,0.001094594
"97","Trøndelag","hi_tydal",9,2.980844399,-0.015003258,-1.91e-15,2.06e-15,1.5e-16,-1.09297628,1.178797913,0.085821633
"98","Trøndelag","hi_tydal",10,3.077995867,-0.016716039,-1.98e-15,2.26e-15,2.84e-16,-1.128598485,1.29076913,0.162170645
"99","Trøndelag","hi_tydal",11,4.015650756,-0.019743399,-2.58e-15,2.71e-15,1.34e-16,-1.472405277,1.549036466,0.076631189
"100","Hedmark","kongsvinger_1",2,4.603693648,-0.029523312,-2.95e-15,4.39e-15,1.44e-15,-1.688021004,2.509945264,0.82192426
"101","Hedmark","kongsvinger_1",3,4.699888795,-0.026576609,-3.02e-15,3.96e-15,9.48e-16,-1.723292558,2.264948506,0.541655947
"102","Hedmark","kongsvinger_1",4,3.450860615,-0.016189223,-2.21e-15,2.38e-15,1.61e-16,-1.265315559,1.357341134,0.092025576
"103","Hedmark","kongsvinger_1",5,5.950310514,-0.023907087,-3.82e-15,3.51e-15,-3.07e-16,-2.181780522,2.006192308,-0.175588214
"104","Hedmark","kongsvinger_1",6,4.770743677,-0.017007724,-3.06e-15,2.46e-15,-6.01e-16,-1.749272682,1.405839572,-0.34343311
"105","Hedmark","kongsvinger_1",7,0.363121832,-0.014507074,-2.33e-16,2.06e-15,1.82e-15,-0.133144672,1.174834798,1.041690126
"106","Hedmark","kongsvinger_2",2,0.445535939,0.004178671,-2.86e-16,-3.72e-16,-6.58e-16,-0.163363178,-0.212832368,-0.376195546
"107","Hedmark","kongsvinger_2",3,0.475270703,0.00234577,-3.05e-16,-1.96e-16,-5.01e-16,-0.174265924,-0.111844127,-0.286110052
"108","Hedmark","kongsvinger_2",4,1.172540165,-0.002938859,-7.52e-16,5.19e-16,-2.34e-16,-0.429931394,0.296466526,-0.133464868
"109","Hedmark","kongsvinger_2",5,1.097468916,-0.002744298,-7.04e-16,5.11e-16,-1.93e-16,-0.402405269,0.292134552,-0.110270718
"110","Hedmark","kongsvinger_2",6,2.021940201,-0.007102946,-1.3e-15,1.17e-15,-1.28e-16,-0.741378074,0.668218598,-0.073159476
"111","Hedmark","kongsvinger_2",7,1.749593277,-0.007421115,-1.12e-15,1.26e-15,1.41e-16,-0.641517535,0.722114084,0.080596549
"112","Telemark","kviteseid1",1,-0.381230343,0.001767399,2.45e-16,-4.11e-16,-1.66e-16,0.139784459,-0.23482468,-0.095040221
"113","Telemark","kviteseid1",2,-0.723728815,-0.000953033,4.64e-16,-3.54e-18,4.61e-16,0.265367232,-0.002022269,0.263344963
"114","Telemark","kviteseid1",3,-0.667014091,-0.002662454,4.28e-16,2.25e-16,6.53e-16,0.244571833,0.128363703,0.372935536
"115","Telemark","kviteseid1",4,-0.844664786,-0.001229589,5.42e-16,3.27e-17,5.75e-16,0.309710421,0.018690829,0.328401251
"116","Telemark","kviteseid1",5,-0.702573776,-0.00164017,4.51e-16,1.1e-16,5.61e-16,0.257610385,0.062973229,0.320583613
"117","Telemark","kviteseid1",6,-0.875136495,-0.000562179,5.62e-16,-5.36e-17,5.08e-16,0.320883382,-0.030653724,0.290229657
"118","Telemark","kviteseid1",7,-0.815091158,0.001368872,5.23e-16,-3.29e-16,1.94e-16,0.298866758,-0.187897579,0.110969179
"119","Telemark","kviteseid1",8,-0.700293144,0.001527249,4.49e-16,-3.56e-16,9.31e-17,0.256774153,-0.203570044,0.053204109
"120","Telemark","kviteseid1",9,-0.559521547,0.000887009,3.59e-16,-2.72e-16,8.67e-17,0.205157901,-0.155635398,0.049522502
"121","Telemark","kviteseid2",1,-0.511438367,-0.007906966,3.28e-16,6.85e-16,1.01e-15,0.187527401,0.391188164,0.578715565
"122","Telemark","kviteseid2",2,-0.442887375,-0.001655343,2.84e-16,1.12e-18,2.85e-16,0.162392038,0.000640778,0.163032816
"123","Telemark","kviteseid2",3,-0.698086204,0.000353609,4.48e-16,-2.49e-16,1.99e-16,0.255964941,-0.142092179,0.113872763
"124","Telemark","kviteseid2",4,-0.235234934,-0.003613737,1.51e-16,2.62e-16,4.13e-16,0.086252809,0.149906413,0.236159222
"125","Telemark","kviteseid2",5,-0.414116538,-0.002225425,2.66e-16,1.23e-16,3.89e-16,0.151842731,0.070223964,0.222066694
"126","Telemark","kviteseid2",6,-0.488465274,-0.001964943,3.13e-16,1.2e-16,4.34e-16,0.179103934,0.068796445,0.247900379
"127","Telemark","kviteseid2",7,-0.399279634,-0.002855354,2.56e-16,2.43e-16,5e-16,0.146402532,0.139027631,0.285430164
"128","Telemark","kviteseid2",8,-0.524482921,-0.00195421,3.37e-16,9.27e-17,4.29e-16,0.192310405,0.052987056,0.245297461
"129","Telemark","kviteseid2",9,-1.03375031,-0.000166171,6.63e-16,-1.74e-16,4.89e-16,0.37904178,-0.099440176,0.279601605
"130","Telemark","kviteseid3",1,1.095816544,-0.00435448,-7.03e-16,5.34e-16,-1.69e-16,-0.401799399,0.305244946,-0.096554454
"131","Telemark","kviteseid3",2,1.15615315,-0.005205623,-7.42e-16,6.63e-16,-7.89e-17,-0.423922822,0.378820431,-0.045102391
