"","Region","LocalityName","Years_Since_Exclosure","Delta_C","Delta_A","RF_Delta_C","RF_Delta_A","Net_RF","C_Eq_Delta_C","C_Eq_Delta_A","Net_C_Eq"
"377","Hedmark","truls_holm",3,1.105163396,0.00237464,-7.09e-16,-3.21e-16,-1.03e-15,-0.405226579,-0.183180675,-0.588407254
"378","Hedmark","truls_holm",4,1.543060465,0.00163242,-9.9e-16,-1.67e-16,-1.16e-15,-0.565788837,-0.095226909,-0.661015746
"379","Hedmark","truls_holm",5,1.580591975,-0.000224371,-1.01e-15,2.06e-16,-8.08e-16,-0.579550391,0.117552783,-0.461997608
"380","Hedmark","truls_holm",6,3.455240195,-0.005184717,-2.22e-15,1.01e-15,-1.21e-15,-1.266921405,0.578348896,-0.688572508
"381","Hedmark","truls_holm",7,2.193607777,-0.004092696,-1.41e-15,9.18e-16,-4.89e-16,-0.804322852,0.524688775,-0.279634077
"382","Hedmark","truls_holm",8,1.930873496,-0.004279447,-1.24e-15,9.46e-16,-2.93e-16,-0.707986948,0.540473436,-0.167513512
"383","Trøndelag","verdal_1vb",1,0.100030673,-0.000930717,-6.42e-17,6.11e-17,-3.13e-18,-0.036677913,0.034889572,-0.001788342
"384","Trøndelag","verdal_1vb",2,-0.258198907,-0.000505715,1.66e-16,4.12e-17,2.07e-16,0.094672932,0.023546144,0.118219076
"385","Trøndelag","verdal_1vb",3,-0.13503516,-0.000668326,8.66e-17,5.69e-17,1.44e-16,0.049512892,0.032537081,0.082049973
"386","Trøndelag","verdal_1vb",4,0.068688739,-0.000382525,-4.41e-17,-2.98e-18,-4.71e-17,-0.025185871,-0.001702997,-0.026888868
"387","Trøndelag","verdal_1vb",5,-0.029891244,-0.002636594,1.92e-17,2.88e-16,3.08e-16,0.010960123,0.164759807,0.17571993
"388","Trøndelag","verdal_1vb",6,-0.262938018,-0.001046063,1.69e-16,2.07e-16,3.75e-16,0.096410606,0.118004388,0.214414994
"389","Trøndelag","verdal_1vb",7,0.005401436,-0.003050197,-3.47e-18,4.97e-16,4.94e-16,-0.001980527,0.284015596,0.282035069
"390","Trøndelag","verdal_1vb",8,0.428855406,-0.00429467,-2.75e-16,6.54e-16,3.78e-16,-0.157246982,0.37350481,0.216257828
"391","Trøndelag","verdal_1vb",9,0.442191296,-0.004705006,-2.84e-16,6.91e-16,4.07e-16,-0.162136809,0.394959846,0.232823038
"392","Trøndelag","verdal_1vb",10,0.294448601,-0.004474834,-1.89e-16,6.64e-16,4.75e-16,-0.107964487,0.379158591,0.271194104
"393","Trøndelag","verdal_1vb",11,0.089521387,-0.003634032,-5.74e-17,5.45e-16,4.88e-16,-0.032824509,0.311540646,0.278716137
"394","Trøndelag","verdal_2vb",1,-1.056215373,0.005219135,6.78e-16,-7.48e-16,-7.02e-17,0.38727897,-0.427366815,-0.040087845
"395","Trøndelag","verdal_2vb",2,-1.204932019,0.006001033,7.73e-16,-8.37e-16,-6.37e-17,0.441808407,-0.47823412,-0.036425713
"396","Trøndelag","verdal_2vb",3,-1.469989752,0.00719147,9.43e-16,-9.95e-16,-5.14e-17,0.538996242,-0.568371791,-0.029375549
"397","Trøndelag","verdal_2vb",4,-0.86453704,0.005100446,5.55e-16,-7.09e-16,-1.54e-16,0.316996915,-0.405012271,-0.088015356
"398","Trøndelag","verdal_2vb",5,-0.439414841,0.003791623,2.82e-16,-5.44e-16,-2.62e-16,0.161118775,-0.310740284,-0.149621509
"399","Trøndelag","verdal_2vb",6,-0.457831202,0.000777084,2.94e-16,-1.46e-16,1.48e-16,0.167871441,-0.083371177,0.084500264
"400","Trøndelag","verdal_2vb",7,-0.454567124,-0.002366637,2.92e-16,2.57e-16,5.49e-16,0.166674612,0.146979955,0.313654568
"401","Trøndelag","verdal_2vb",8,-1.244979413,0.001307302,7.99e-16,-2.18e-16,5.81e-16,0.456492451,-0.124775256,0.331717196
"402","Trøndelag","verdal_2vb",9,-2.075627452,0.005235821,1.33e-15,-6.91e-16,6.41e-16,0.761063399,-0.394991033,0.366072366
"403","Trøndelag","verdal_2vb",10,-1.447387542,0.002409232,9.29e-16,-3.1e-16,6.18e-16,0.530708765,-0.177417269,0.353291496
"404","Trøndelag","verdal_2vb",11,-1.848799144,0.001871301,1.19e-15,-2.42e-16,9.44e-16,0.677893019,-0.138206832,0.539686188
