"","ExperimentID","Region","DistrictID","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated","Site_Number","Productivity_Index","Moose_Density","Red_Deer_Density","Roe_Deer_Density","Min_Temp","Max_Temp","Min_SWE","Max_SWE","Temp_Range","SWE_Range"
"47","{2794FC4A-44B8-4385-8623-C70616E46628}","telemark","0807","6NOB","notodden6","B",9.010986,59.55497,"2003",2009,33,0.106105683,45.75073179,7.549714848,3.55799475,268.232133995037,288.876550868486,0,121.994005449591,20.644416873449,121.994005449591
"33","{6D6A5302-BEF1-4207-99AF-70D46B036A98}","telemark","0604","1FRB","fritsoe1","B",9.739193,59.416329,"2009",2009,34,0.245537883,45.5486725,2.225169257,8.847710058,268.431637717122,287.96141439206,0,214.123325062035,19.529776674938,214.123325062035
"61","{E82B89F3-5ECE-4C35-830A-D3D79D974057}","telemark","0829","3KVB","kviteseid3","B",8.267729,59.372355,"2000",2009,35,0.091250578,34.25057033,13.40190923,2.936689407,267.173573200993,286.329156327543,0,240.736476426799,19.15558312655,240.736476426799
"35","{DD38A6C0-256F-4B6F-87C4-630837EB525D}","telemark","0728","2FRB","fritsoe2","B",9.823752,59.367768,"2005",2009,36,0.148195816,45.48785783,33.89613967,19.91579349,269.24429280397,288.941066997519,0,129.361307901907,19.696774193549,129.361307901907
"57","{55C2C199-CD2E-4DAB-992F-6154F9BBD327}","telemark","0829","1KVB","kviteseid1","B",8.198916,59.343617,"2004",2009,37,0.105926078,34.25057033,13.40190923,2.936689407,267.917245657568,287.361910669975,0,165.711166253102,19.444665012407,165.711166253102
"63","{8CE41C97-B47B-498D-B8DE-F9318B06F05C}","telemark","0831","1FYB","furesdal","B",8.092094,59.336119,"2007",2009,38,0.058035047,23.22393919,2.078638027,1.526065809,268.424937965261,287.936104218362,0,130.379564032698,19.511166253101,130.379564032698
"59","{4BCAF02B-97BF-4422-8227-AC3B19CDBD78}","telemark","0829","2KVB","kviteseid2","B",8.549483,59.30875,"2005",2009,39,0.106407376,34.25057033,13.40190923,2.936689407,267.456451612903,286.671339950372,0,272.621091811414,19.214888337469,272.621091811414
"55","{1345C5C5-BA31-49C1-BB59-BC222904C1F0}","telemark","0819","2CAB","nome_cappelen2","B",9.12481,59.262313,"2006",2009,40,0.166542737,30.18818188,28.25801849,15.04767058,269.986228287841,290.087220843672,0,89.0653950953678,20.100992555831,89.0653950953678
"37","{95EDA0E0-4702-4DAF-A9E5-D1AAE8EF6B30}","telemark","0806","1CAB","nome_cappelen1","B",9.262933,59.141608,"2006",2009,41,0.080441283,36.73246483,7.237559382,26.88021893,270.502605459057,290.016501240695,0,108.832152588556,19.513895781638,108.832152588556
"49","{89274CF3-A2AB-493F-B1A7-85568BEA0856}","telemark","0817","1DRB","drangedal1","B",9.146759,59.129363,"2005",2009,42,0.21131677,27.00672829,9.836987784,5.031787593,269.957196029777,289.473076923077,0,141.196730245232,19.5158808933,141.196730245232
"51","{BCCE747C-640D-43AB-851D-356BB2A3A7CC}","telemark","0817","3DRB","drangedal3","B",8.834496,59.056436,"2007",2009,43,0.019353239,27.00672829,9.836987784,5.031787593,269.475310173697,288.759181141439,0,145.918528610354,19.283870967742,145.918528610354
"53","{91B5699A-9A5B-490F-B59B-330ABB953204}","telemark","0817","4DRB","drangedal4","B",8.822521,59.022177,"2007",2009,44,0.205027981,27.00672829,9.836987784,5.031787593,269.549255583127,288.737593052109,0,146.405177111717,19.188337468982,146.405177111717
