"","ExperimentID","Region","DistrictID","LocalityCode","LocalityName","Treatment","Longitude","Latitude","Clear.cut","Year.initiated"
"62","{9F2668F4-60F3-4EC2-A3F5-C7F7B36F4836}","Telemark",829,"3KVUB","kviteseid3","UB",8.266754,59.3727,"2000",2009
"63","{8CE41C97-B47B-498D-B8DE-F9318B06F05C}","Telemark",831,"1FYB","furesdal","B",8.092094,59.336119,"2007",2009
"64","{E1EB36B9-CF96-424C-AE4B-59F4DA0ECB54}","Telemark",831,"1FYUB","furesdal","UB",8.092528,59.336993,"2007",2009
"65","{5008C498-58CA-4083-AEC2-EE4EEB7277C1}","Trøndelag",1601,"BRB","bratsberg","B",10.473511,63.352546,"2002",2008
"66","{3CE45121-C8C0-4908-987F-2A1EB936498E}","Trøndelag",1601,"BRUB","bratsberg","UB",10.472432,63.352243,"2002",2008
"67","{9DE16EE8-98D4-4615-90E6-B728C2FB5200}","Trøndelag",1648,"LAB","singsaas","B",10.943145,62.967839,"2005",2008
"68","{119DA686-F1E8-4F5B-95FE-614D3947E56C}","Trøndelag",1648,"LAUB","singsaas","UB",10.942996,62.96731,"2005",2008
"69","{8F9EE1BA-2745-472A-B431-7B04373DEDE1}","Trøndelag",1663,"MAB","malvik","B",10.725884,63.358705,"2002",2008
"70","{2CAF8C2B-43AF-4852-84CC-15A729BAFBB8}","Trøndelag",1663,"MAUB","malvik","UB",10.72509,63.358309,"2002",2008
"71","{D701FCEB-1D2B-4CAF-A5F6-2947B5CAA2FE}","Trøndelag",1664,"FLB","selbu_flub","B",11.038617,63.254449,"2004",2008
"72","{9B4F9B67-39BA-45B2-9320-ED5C8EBFFB3F}","Trøndelag",1664,"FLUB","selbu_flub","UB",11.038505,63.2549,"2004",2008
"73","{436D050D-BBC7-4E3F-A530-824096A01910}","Trøndelag",1664,"KLB","selbu_kl","B",11.031603,63.192682,"2003",2008
"74","{08BA3586-B495-4ADD-A054-EBBC42C0CF98}","Trøndelag",1664,"KLUB","selbu_kl","UB",11.031679,63.193102,"2003",2008
"75","{57129549-D9CA-4F26-B5AE-C29A13078D06}","Trøndelag",1664,"SLB","selbu_sl","B",10.988518,63.136555,"2002",2008
"76","{A8C429C7-4A54-444E-9356-18DE020C08D0}","Trøndelag",1664,"SLUB","selbu_sl","UB",10.988881,63.13596,"2002",2008
"77","{B6F75EEC-1139-48B1-8148-E89730762065}","Trøndelag",1665,"HIB","hi_tydal","B",11.411862,63.098123,"2005",2008
"78","{4293E6E3-8FD7-4E28-8D12-B9A66011FE89}","Trøndelag",1665,"HIUB","hi_tydal","UB",11.411103,63.09807,"2005",2008
"79","{497016A2-081F-4D12-B7B2-42BEA56B357F}","Trøndelag",1665,"SEB","sl_tydal","B",11.422647,63.046955,"2005",2008
"80","{FD109D9F-AE24-40DC-8D00-FAC2D3483C80}","Trøndelag",1665,"SEUB","sl_tydal","UB",11.423383,63.047032,"2005",2008
"81","{D6B2FD7A-15C4-4670-B026-3602BBEA1089}","Trøndelag",1702,"1BBB","steinkjer_1bbb","B",11.891657,64.213491,"2005",2008
"82","{38DA5D4B-31DA-44A6-A087-D602E9C69D3E}","Trøndelag",1702,"1BBUB","steinkjer_1bbb","UB",11.892633,64.213433,"2005",2008
"83","{F14CE361-4908-4F0F-BD55-6DB6409E770C}","Trøndelag",1702,"2BBB","steinkjer_2bbb","B",11.86149,64.199944,"2004",2008
"84","{1EEE9DB5-04D1-4E73-90B6-A852830DAADE}","Trøndelag",1702,"2BBUB","steinkjer_2bbb","UB",11.860742,64.199657,"2004",2008
"85","{458C6729-4246-48A6-99BF-6BD563D4CAC1}","Trøndelag",1721,"1NSB","nsb_verdal","B",11.577472,63.843674,"2006",2008
"86","{E8CDF86B-92A0-403D-BE65-093281A19FAA}","Trøndelag",1721,"1NSUB","nsb_verdal","UB",11.57849,63.843925,"2006",2008
"87","{E96AC791-4752-4456-87D7-CBD160AA2E1C}","Trøndelag",1721,"1VBB","verdal_1vb","B",11.793287,63.721556,"2005",2008
"88","{60964B66-8484-4E24-9619-4CA7D5507D5F}","Trøndelag",1721,"1VBUB","verdal_1vb","UB",11.793114,63.721926,"2005",2008
"89","{6F5CBF6D-8525-4E42-A004-02A1A138E474}","Trøndelag",1721,"2VBB","verdal_2vb","B",11.678672,63.7363,"2003",2008
"90","{62C3914B-ECCA-4DE4-BCDA-0CD1C5B889F8}","Trøndelag",1721,"2VBUB","verdal_2vb","UB",11.679582,63.736321,"2003",2008
"91","{2FF62A21-F59E-4A0E-AE79-926652BB96C0}","Trøndelag",1725,"1KB","namdalseid_1kub","B",11.319426,64.264537,"2006",2008
"92","{36856F81-364E-4F86-B5D1-AA06D7E3475F}","Trøndelag",1725,"1KUB","namdalseid_1kub","UB",11.318889,64.263747,"2006",2008
"93","{8DB1F626-7072-4F7F-BF3E-E55BEA21899C}","Trøndelag",1725,"1SB","sub_namdalseid","B",11.314401,64.181582,"2004",2008
"94","{A646BDBC-873B-44BB-B67B-39EA64394AD4}","Trøndelag",1725,"1SUB","sub_namdalseid","UB",11.313697,64.181336,"2004",2008
